Tipo_Antecessor,Qtd Chaves,Altura,Altura Esperada
AVL,991,11,14
AVL,991,11,14
AVL,991,11,14
AVL,991,11,14
AVL,991,11,14
AVL,991,11,14
AVL,991,11,14
AVL,991,11,14
AVL,991,11,14
AVL,991,11,14
AVL,991,11,14
AVL,991,11,14
AVL,991,11,14
AVL,991,11,14
AVL,991,11,14
AVL,991,11,14
AVL,991,11,14
AVL,991,11,14
AVL,991,11,14
AVL,991,11,14
AVL,991,11,14
AVL,991,11,14
AVL,991,11,14
AVL,991,11,14
AVL,991,11,14
AVL,991,11,14
AVL,991,11,14
AVL,991,11,14
AVL,991,11,14
AVL,991,11,14
AVL,991,11,14
AVL,991,11,14
AVL,991,11,14
AVL,991,11,14
AVL,991,11,14
AVL,991,11,14
AVL,991,11,14
AVL,991,11,14
AVL,991,11,14
AVL,991,11,14
AVL,991,11,14
AVL,991,11,14
AVL,991,11,14
AVL,991,11,14
AVL,991,11,14
AVL,991,11,14
AVL,991,11,14
AVL,991,11,14
AVL,991,11,14
AVL,991,11,14
AVL,991,11,14
AVL,991,11,14
AVL,991,11,14
AVL,991,11,14
AVL,991,11,14
AVL,991,11,14
AVL,991,11,14
AVL,991,11,14
AVL,991,11,14
AVL,991,11,14
AVL,991,11,14
AVL,991,11,14
AVL,991,11,14
AVL,991,11,14
AVL,991,11,14
AVL,991,11,14
AVL,991,11,14
AVL,991,10,14
AVL,991,11,14
AVL,991,11,14
AVL,991,11,14
AVL,991,11,14
AVL,991,11,14
AVL,991,11,14
AVL,991,11,14
AVL,991,11,14
AVL,991,11,14
AVL,991,11,14
AVL,991,11,14
AVL,991,11,14
AVL,991,11,14
AVL,991,11,14
AVL,991,11,14
AVL,991,10,14
AVL,991,11,14
AVL,991,11,14
AVL,275,9,11
AVL,275,9,11
AVL,275,9,11
AVL,275,8,11
AVL,275,8,11
AVL,275,8,11
AVL,275,9,11
AVL,275,9,11
AVL,275,9,11
AVL,275,8,11
AVL,275,9,11
AVL,275,9,11
AVL,275,9,11
AVL,275,9,11
AVL,275,9,11
AVL,275,9,11
AVL,275,9,11
AVL,275,8,11
AVL,275,9,11
AVL,275,9,11
AVL,275,9,11
AVL,275,9,11
AVL,275,9,11
AVL,275,9,11
AVL,275,9,11
AVL,275,9,11
AVL,275,9,11
AVL,275,9,11
AVL,275,8,11
AVL,275,9,11
AVL,275,9,11
AVL,275,9,11
AVL,275,9,11
AVL,275,9,11
AVL,275,9,11
AVL,275,9,11
AVL,275,9,11
AVL,275,9,11
AVL,275,9,11
AVL,275,9,11
AVL,275,9,11
AVL,275,8,11
AVL,275,9,11
AVL,275,9,11
AVL,275,9,11
AVL,275,9,11
AVL,275,9,11
AVL,275,9,11
AVL,275,9,11
AVL,275,8,11
AVL,275,9,11
AVL,275,9,11
AVL,275,9,11
AVL,275,9,11
AVL,275,9,11
AVL,275,9,11
AVL,275,9,11
AVL,275,9,11
AVL,275,9,11
AVL,275,9,11
AVL,275,9,11
AVL,275,8,11
AVL,275,9,11
AVL,275,9,11
AVL,275,9,11
AVL,275,9,11
AVL,275,9,11
AVL,275,9,11
AVL,275,9,11
AVL,275,9,11
AVL,275,9,11
AVL,275,9,11
AVL,275,9,11
AVL,275,8,11
AVL,275,9,11
AVL,275,8,11
AVL,275,9,11
AVL,275,9,11
AVL,275,9,11
AVL,275,9,11
AVL,275,9,11
AVL,275,9,11
AVL,275,9,11
AVL,275,9,11
AVL,275,9,11
AVL,275,9,11
AVL,275,8,11
AVL,275,9,11
AVL,275,9,11
AVL,275,9,11
AVL,275,8,11
AVL,275,9,11
AVL,275,9,11
AVL,275,8,11
AVL,275,9,11
AVL,275,9,11
AVL,275,9,11
AVL,275,9,11
AVL,275,9,11
AVL,275,9,11
AVL,492,10,12
AVL,492,10,12
AVL,492,10,12
AVL,492,10,12
AVL,492,10,12
AVL,492,10,12
AVL,492,10,12
AVL,492,10,12
AVL,492,10,12
AVL,492,9,12
AVL,492,10,12
AVL,492,10,12
AVL,492,10,12
AVL,492,10,12
AVL,492,10,12
AVL,492,10,12
AVL,492,10,12
AVL,492,10,12
AVL,492,10,12
AVL,492,10,12
AVL,492,10,12
AVL,492,9,12
AVL,492,10,12
AVL,492,9,12
AVL,492,10,12
AVL,492,9,12
AVL,492,10,12
AVL,492,10,12
AVL,492,10,12
AVL,492,10,12
AVL,492,10,12
AVL,492,10,12
AVL,492,10,12
AVL,492,9,12
AVL,492,10,12
AVL,492,10,12
AVL,492,9,12
AVL,492,10,12
AVL,492,10,12
AVL,492,10,12
AVL,492,10,12
AVL,492,9,12
AVL,492,10,12
AVL,492,10,12
AVL,492,9,12
AVL,492,10,12
AVL,492,10,12
AVL,492,10,12
AVL,492,10,12
AVL,492,10,12
AVL,492,9,12
AVL,492,10,12
AVL,492,9,12
AVL,492,10,12
AVL,492,9,12
AVL,492,10,12
AVL,492,10,12
AVL,492,10,12
AVL,492,10,12
AVL,492,10,12
AVL,492,10,12
AVL,492,10,12
AVL,492,10,12
AVL,492,10,12
AVL,492,10,12
AVL,492,10,12
AVL,492,10,12
AVL,492,10,12
AVL,492,9,12
AVL,492,10,12
AVL,492,10,12
AVL,492,10,12
AVL,492,9,12
AVL,492,10,12
AVL,492,10,12
AVL,492,10,12
AVL,492,10,12
AVL,492,10,12
AVL,492,10,12
AVL,492,10,12
AVL,492,10,12
AVL,492,10,12
AVL,492,9,12
AVL,492,9,12
AVL,492,10,12
AVL,492,9,12
AVL,492,10,12
AVL,492,10,12
AVL,492,10,12
AVL,492,10,12
AVL,492,10,12
AVL,492,10,12
AVL,492,9,12
AVL,492,10,12
AVL,492,10,12
AVL,492,10,12
AVL,492,10,12
AVL,492,10,12
AVL,492,9,12
AVL,492,10,12
AVL,384,10,12
AVL,384,9,12
AVL,384,10,12
AVL,384,9,12
AVL,384,9,12
AVL,384,9,12
AVL,384,9,12
AVL,384,10,12
AVL,384,9,12
AVL,384,9,12
AVL,384,9,12
AVL,384,9,12
AVL,384,9,12
AVL,384,9,12
AVL,384,9,12
AVL,384,9,12
AVL,384,9,12
AVL,384,9,12
AVL,384,10,12
AVL,384,9,12
AVL,384,9,12
AVL,384,9,12
AVL,384,9,12
AVL,384,9,12
AVL,384,9,12
AVL,384,10,12
AVL,384,9,12
AVL,384,9,12
AVL,384,9,12
AVL,384,9,12
AVL,384,10,12
AVL,384,9,12
AVL,384,9,12
AVL,384,9,12
AVL,384,9,12
AVL,384,9,12
AVL,384,9,12
AVL,384,9,12
AVL,384,9,12
AVL,384,9,12
AVL,384,9,12
AVL,384,9,12
AVL,384,9,12
AVL,384,9,12
AVL,384,9,12
AVL,384,9,12
AVL,384,9,12
AVL,384,9,12
AVL,384,9,12
AVL,384,9,12
AVL,384,9,12
AVL,384,9,12
AVL,384,9,12
AVL,384,9,12
AVL,384,9,12
AVL,384,9,12
AVL,384,9,12
AVL,384,9,12
AVL,384,9,12
AVL,384,9,12
AVL,384,9,12
AVL,384,9,12
AVL,384,9,12
AVL,384,9,12
AVL,384,9,12
AVL,384,9,12
AVL,384,9,12
AVL,384,9,12
AVL,384,9,12
AVL,384,9,12
AVL,384,9,12
AVL,384,9,12
AVL,384,9,12
AVL,384,9,12
AVL,384,9,12
AVL,384,9,12
AVL,384,9,12
AVL,384,9,12
AVL,384,9,12
AVL,384,9,12
AVL,384,9,12
AVL,384,9,12
AVL,384,9,12
AVL,384,9,12
AVL,384,9,12
AVL,384,9,12
AVL,384,9,12
AVL,384,9,12
AVL,384,9,12
AVL,384,9,12
AVL,384,9,12
AVL,384,9,12
AVL,384,9,12
AVL,384,9,12
AVL,384,9,12
AVL,384,9,12
AVL,384,9,12
AVL,384,9,12
AVL,384,9,12
AVL,384,9,12
AVL,973,11,13
AVL,973,11,13
AVL,973,11,13
AVL,973,11,13
AVL,973,11,13
AVL,973,11,13
AVL,973,11,13
AVL,973,11,13
AVL,973,11,13
AVL,973,11,13
AVL,973,11,13
AVL,973,11,13
AVL,973,11,13
AVL,973,11,13
AVL,973,11,13
AVL,973,11,13
AVL,973,10,13
AVL,973,11,13
AVL,973,11,13
AVL,973,11,13
AVL,973,11,13
AVL,973,11,13
AVL,973,11,13
AVL,973,11,13
AVL,973,11,13
AVL,973,11,13
AVL,973,11,13
AVL,973,11,13
AVL,973,10,13
AVL,973,11,13
AVL,973,11,13
AVL,973,11,13
AVL,973,11,13
AVL,973,11,13
AVL,973,11,13
AVL,973,11,13
AVL,973,11,13
AVL,973,11,13
AVL,973,11,13
AVL,973,11,13
AVL,973,11,13
AVL,973,11,13
AVL,973,11,13
AVL,973,11,13
AVL,973,11,13
AVL,973,11,13
AVL,973,11,13
AVL,973,11,13
AVL,973,11,13
AVL,973,11,13
AVL,973,11,13
AVL,973,11,13
AVL,973,11,13
AVL,973,11,13
AVL,973,11,13
AVL,973,11,13
AVL,973,11,13
AVL,973,10,13
AVL,973,11,13
AVL,973,11,13
AVL,973,11,13
AVL,973,11,13
AVL,973,11,13
AVL,973,11,13
AVL,973,11,13
AVL,973,11,13
AVL,973,11,13
AVL,973,11,13
AVL,973,11,13
AVL,973,11,13
AVL,973,11,13
AVL,973,11,13
AVL,973,11,13
AVL,973,11,13
AVL,973,11,13
AVL,973,11,13
AVL,973,11,13
AVL,973,11,13
AVL,973,11,13
AVL,973,11,13
AVL,973,11,13
AVL,973,11,13
AVL,973,11,13
AVL,973,11,13
AVL,973,11,13
AVL,973,11,13
AVL,973,11,13
AVL,973,11,13
AVL,973,11,13
AVL,973,11,13
AVL,973,11,13
AVL,973,11,13
AVL,973,11,13
AVL,973,11,13
AVL,973,11,13
AVL,973,11,13
AVL,973,11,13
AVL,973,11,13
AVL,973,11,13
AVL,973,11,13
AVL,164,8,10
AVL,164,8,10
AVL,164,8,10
AVL,164,8,10
AVL,164,8,10
AVL,164,8,10
AVL,164,8,10
AVL,164,8,10
AVL,164,8,10
AVL,164,8,10
AVL,164,8,10
AVL,164,8,10
AVL,164,8,10
AVL,164,8,10
AVL,164,8,10
